timestamp,msg_type,fields
0.052007,DEBUG_FLOAT_ARRAY,"{""time_usec"": 14504198, ""name"": ""motor_f"", ""array_id"": 0, ""data"": [0.0, 0.0, 0.0, 0.0, 2.0324710383663083e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0324710383663083e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0324710383663083e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0324710383663083e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0324710383663083e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0324710383663083e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0]}"
0.052007,ATTITUDE_QUATERNION,"{""time_boot_ms"": 14514, ""q1"": -0.29812535643577576, ""q2"": 0.0017962425481528044, ""q3"": 0.010155710391700268, ""q4"": 0.9544710516929626, ""rollspeed"": 0.03251522034406662, ""pitchspeed"": 0.013377154245972633, ""yawspeed"": 0.021863048896193504, ""repr_offset_q"": [0.0, 0.0, 0.0, 0.0]}"
0.130166,DEBUG_FLOAT_ARRAY,"{""time_usec"": 14532646, ""name"": ""motor_f"", ""array_id"": 0, ""data"": [0.0, 0.0, 0.0, 0.0, 2.0364574522376196e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0364574522376196e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0364574522376196e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0364574522376196e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0364574522376196e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0364574522376196e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0]}"
0.130166,LOCAL_POSITION_NED,"{""time_boot_ms"": 14544, ""x"": 0.08846535533666611, ""y"": 0.004237057641148567, ""z"": -27.116724014282227, ""vx"": 0.019864872097969055, ""vy"": -0.0007982397801242769, ""vz"": -5.088912010192871}"
0.160101,NAMED_VALUE_FLOAT,"{""time_boot_ms"": 14552, ""name"": ""enc_angle"", ""value"": 3.9822142124176025}"
0.160101,RC_CHANNELS,"{""time_boot_ms"": 14555, ""chancount"": 0, ""chan1_raw"": 1500, ""chan2_raw"": 1500, ""chan3_raw"": 1003, ""chan4_raw"": 1500, ""chan5_raw"": 1000, ""chan6_raw"": 2000, ""chan7_raw"": 0, ""chan8_raw"": 0, ""chan9_raw"": 0, ""chan10_raw"": 0, ""chan11_raw"": 0, ""chan12_raw"": 0, ""chan13_raw"": 0, ""chan14_raw"": 0, ""chan15_raw"": 0, ""chan16_raw"": 0, ""chan17_raw"": 0, ""chan18_raw"": 0, ""rssi"": 0}"
0.160101,ATTITUDE_QUATERNION,"{""time_boot_ms"": 14563, ""q1"": -0.29821285605430603, ""q2"": 0.0015754296910017729, ""q3"": 0.010151911526918411, ""q4"": 0.954444169998169, ""rollspeed"": 0.03251522034406662, ""pitchspeed"": 0.013377154245972633, ""yawspeed"": 0.021863048896193504, ""repr_offset_q"": [0.0, 0.0, 0.0, 0.0]}"
0.161505,HIGHRES_IMU,"{""time_usec"": 14543659, ""xacc"": -0.16765137016773224, ""yacc"": -0.21076172590255737, ""zacc"": -10.310559272766113, ""xgyro"": -0.0007891915738582611, ""ygyro"": -0.0014196811243891716, ""zgyro"": -0.004276469349861145, ""xmag"": 0.0, ""ymag"": 0.0, ""zmag"": 0.0, ""abs_pressure"": 0.0, ""diff_pressure"": 0.0, ""pressure_alt"": 0.0, ""temperature"": 0.0, ""fields_updated"": 0, ""id"": 0}"
0.161505,SET_ATTITUDE_TARGET,"{""time_boot_ms"": 14573, ""target_system"": 0, ""target_component"": 0, ""type_mask"": 0, ""q"": [1.0, 0.0, 0.0, 0.0], ""body_roll_rate"": 0.0, ""body_pitch_rate"": 0.0, ""body_yaw_rate"": 0.0, ""thrust"": 0.0}"
0.161505,DEBUG_FLOAT_ARRAY,"{""time_usec"": 14576509, ""name"": ""motor_f"", ""array_id"": 0, ""data"": [0.0, 0.0, 0.0, 0.0, 2.0426039676916875e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0426039676916875e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0426039676916875e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0426039676916875e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0426039676916875e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0426039676916875e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0]}"
0.161505,ATTITUDE_QUATERNION,"{""time_boot_ms"": 14584, ""q1"": -0.2981932759284973, ""q2"": 0.001599684590473771, ""q3"": 0.010135146789252758, ""q4"": 0.9544503688812256, ""rollspeed"": 0.03251522034406662, ""pitchspeed"": 0.013377154245972633, ""yawspeed"": 0.021863048896193504, ""repr_offset_q"": [0.0, 0.0, 0.0, 0.0]}"
0.161505,HIGHRES_IMU,"{""time_usec"": 14584309, ""xacc"": -0.10059082508087158, ""yacc"": -0.17244140803813934, ""zacc"": -10.257868766784668, ""xgyro"": 7.958710193634033e-05, ""ygyro"": -0.00110634695738554, ""zgyro"": -0.004003897309303284, ""xmag"": 0.0, ""ymag"": 0.0, ""zmag"": 0.0, ""abs_pressure"": 0.0, ""diff_pressure"": 0.0, ""pressure_alt"": 0.0, ""temperature"": 0.0, ""fields_updated"": 0, ""id"": 0}"
0.161505,SET_ATTITUDE_TARGET,"{""time_boot_ms"": 14594, ""target_system"": 0, ""target_component"": 0, ""type_mask"": 0, ""q"": [1.0, 0.0, 0.0, 0.0], ""body_roll_rate"": 0.0, ""body_pitch_rate"": 0.0, ""body_yaw_rate"": 0.0, ""thrust"": 0.0}"
0.161505,DEBUG_FLOAT_ARRAY,"{""time_usec"": 14600335, ""name"": ""motor_f"", ""array_id"": 0, ""data"": [0.0, 0.0, 0.0, 0.0, 2.0459427014127878e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0459427014127878e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0459427014127878e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0459427014127878e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0459427014127878e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0459427014127878e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0]}"
0.161505,ATTITUDE_QUATERNION,"{""time_boot_ms"": 14614, ""q1"": -0.2981622517108917, ""q2"": 0.0015087174251675606, ""q3"": 0.010134143754839897, ""q4"": 0.9544602632522583, ""rollspeed"": 0.03251522034406662, ""pitchspeed"": 0.013377154245972633, ""yawspeed"": 0.021863048896193504, ""repr_offset_q"": [0.0, 0.0, 0.0, 0.0]}"
0.162531,HIGHRES_IMU,"{""time_usec"": 14613223, ""xacc"": -0.06706055253744125, ""yacc"": -0.22752685844898224, ""zacc"": -10.26026439666748, ""xgyro"": -0.001349233090877533, ""ygyro"": -0.0010540876537561417, ""zgyro"": -0.004241049289703369, ""xmag"": 0.0, ""ymag"": 0.0, ""zmag"": 0.0, ""abs_pressure"": 0.0, ""diff_pressure"": 0.0, ""pressure_alt"": 0.0, ""temperature"": 0.0, ""fields_updated"": 0, ""id"": 0}"
0.162531,SET_ATTITUDE_TARGET,"{""time_boot_ms"": 14625, ""target_system"": 0, ""target_component"": 0, ""type_mask"": 0, ""q"": [1.0, 0.0, 0.0, 0.0], ""body_roll_rate"": 0.0, ""body_pitch_rate"": 0.0, ""body_yaw_rate"": 0.0, ""thrust"": 0.0}"
0.162531,DEBUG_FLOAT_ARRAY,"{""time_usec"": 14632061, ""name"": ""motor_f"", ""array_id"": 0, ""data"": [0.0, 0.0, 0.0, 0.0, 2.0503884609207047e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0503884609207047e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0503884609207047e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0503884609207047e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0503884609207047e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0503884609207047e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0]}"
0.162531,ATTITUDE_QUATERNION,"{""time_boot_ms"": 14642, ""q1"": -0.2981005907058716, ""q2"": 0.0013522286899387836, ""q3"": 0.009953202679753304, ""q4"": 0.9544816613197327, ""rollspeed"": 0.03251522034406662, ""pitchspeed"": 0.013377154245972633, ""yawspeed"": 0.021863048896193504, ""repr_offset_q"": [0.0, 0.0, 0.0, 0.0]}"
0.162531,HIGHRES_IMU,"{""time_usec"": 14641456, ""xacc"": -0.09101074934005737, ""yacc"": -0.2251318395137787, ""zacc"": -10.296189308166504, ""xgyro"": -0.000782456248998642, ""ygyro"": -0.002584567293524742, ""zgyro"": -0.003969883546233177, ""xmag"": 0.0, ""ymag"": 0.0, ""zmag"": 0.0, ""abs_pressure"": 0.0, ""diff_pressure"": 0.0, ""pressure_alt"": 0.0, ""temperature"": 0.0, ""fields_updated"": 0, ""id"": 0}"
0.162531,DEBUG_FLOAT_ARRAY,"{""time_usec"": 14660443, ""name"": ""motor_f"", ""array_id"": 0, ""data"": [0.0, 0.0, 0.0, 0.0, 2.0543656262221514e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0543656262221514e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0543656262221514e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0543656262221514e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0543656262221514e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.0543656262221514e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0]}"
0.162531,ATTITUDE_QUATERNION,"{""time_boot_ms"": 14666, ""q1"": -0.29799824953079224, ""q2"": 0.0014930935576558113, ""q3"": 0.010174310766160488, ""q4"": 0.9545111060142517, ""rollspeed"": 0.03251522034406662, ""pitchspeed"": 0.013377154245972633, ""yawspeed"": 0.021863048896193504, ""repr_offset_q"": [0.0, 0.0, 0.0, 0.0]}"
0.162531,HIGHRES_IMU,"{""time_usec"": 14665626, ""xacc"": -0.09580078721046448, ""yacc"": -0.21794678270816803, ""zacc"": -10.28421401977539, ""xgyro"": -0.0008078441023826599, ""ygyro"": -4.609115421772003e-06, ""zgyro"": -0.0035371314734220505, ""xmag"": 0.0, ""ymag"": 0.0, ""zmag"": 0.0, ""abs_pressure"": 0.0, ""diff_pressure"": 0.0, ""pressure_alt"": 0.0, ""temperature"": 0.0, ""fields_updated"": 0, ""id"": 0}"
0.193433,SET_ATTITUDE_TARGET,"{""time_boot_ms"": 14676, ""target_system"": 0, ""target_component"": 0, ""type_mask"": 0, ""q"": [1.0, 0.0, 0.0, 0.0], ""body_roll_rate"": 0.0, ""body_pitch_rate"": 0.0, ""body_yaw_rate"": 0.0, ""thrust"": 0.0}"
0.193433,DEBUG_FLOAT_ARRAY,"{""time_usec"": 14683442, ""name"": ""motor_f"", ""array_id"": 0, ""data"": [0.0, 0.0, 0.0, 0.0, 2.057588472560252e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.057588472560252e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.057588472560252e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.057588472560252e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.057588472560252e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0, 2.057588472560252e-38, 0.0, 7.334794732765878e+28, 1.7469309022942265e+19, 210.00155639648438, 0.0, 0.0, 0.0, 0.0]}"
0.194458,LOCAL_POSITION_NED,"{""time_boot_ms"": 14696, ""x"": 0.09147253632545471, ""y"": 0.004108082968741655, ""z"": -27.89582633972168, ""vx"": 0.01934526301920414, ""vy"": -0.00022342358715832233, ""vz"": -5.162489891052246}"
